lead_id,channel,message_text,message_hour,message_length,high_intent_flag,prev_contacts,response_gap_hrs,replied
L0001,WhatsApp,how much,20,224,1,0,3.96,1
L0002,WhatsApp,need a quote please,19,58,1,1,99.94,0
L0003,WhatsApp,interested,10,144,1,0,35.72,0
L0004,Email,hello thanks hi,14,11,0,1,4.65,1
L0005,WhatsApp,just checking demo how much,11,62,1,3,1.12,1
L0006,WhatsApp,okay,10,270,0,4,17.92,0
L0007,Email,okay,19,110,0,3,35.27,0
L0008,WhatsApp,quote how much,14,152,1,1,82.76,0
L0009,Phone Inquiry,looking to buy,20,295,1,2,1.8,1
L0010,Email,okay hello thanks,12,122,0,0,24.51,0
L0011,Website Chat,price available,12,11,1,1,5.86,1
L0012,WhatsApp,how much,11,107,1,2,2.11,1
L0013,Email,interested demo how much,18,137,1,3,3.45,1
L0014,Email,checking availability,8,46,1,1,3.78,1
L0015,Email,want to see demo,8,113,0,1,328.81,0
L0016,WhatsApp,interested price price,8,31,1,2,9.27,1
L0017,Email,price demo interested thanks,8,55,1,2,70.04,1
L0018,WhatsApp,buy price buy,12,67,1,1,2.8,1
L0019,Website Chat,hi,16,256,0,1,2.4,1
L0020,WhatsApp,thanks hi hi,15,297,0,1,4.17,1
L0021,Website Chat,thanks,13,117,0,1,65.92,0
L0022,Email,available interested,11,284,1,1,96.62,0
L0023,WhatsApp,price quote,8,281,1,2,13.19,1
L0024,WhatsApp,price available,20,103,1,3,1.0,1
L0025,Email,demo quote please,9,105,1,2,19.03,0
L0026,Email,thanks hello hello,18,188,0,4,6.68,1
L0027,Email,interested in pricing,20,124,0,1,57.69,1
L0028,WhatsApp,price interested demo,17,105,1,3,4.11,1
L0029,Email,hello demo,16,85,1,3,16.63,1
L0030,Phone Inquiry,how much available,16,142,1,4,41.63,1
L0031,WhatsApp,just checking,16,174,0,1,7.15,1
L0032,Website Chat,hi hi okay,10,48,0,1,12.73,1
L0033,Website Chat,hello thanks,14,126,0,1,46.5,1
L0034,WhatsApp,need a quote please,10,23,0,2,69.77,1
L0035,WhatsApp,buy demo,15,229,1,1,28.64,1
L0036,WhatsApp,hello,10,19,0,2,16.01,0
L0037,Phone Inquiry,available,8,186,1,2,61.9,1
L0038,Phone Inquiry,buy interested,12,87,1,0,8.19,1
L0039,WhatsApp,okay okay,14,277,0,2,9.44,1
L0040,Website Chat,hi hi,9,295,0,1,4.77,1
L0041,Email,price just checking demo,20,62,1,1,9.79,1
L0042,Email,interested,18,164,1,1,2.9,1
L0043,WhatsApp,available,16,82,1,0,3.66,1
L0044,WhatsApp,interested,8,216,1,2,8.67,1
L0045,Website Chat,interested how much price,19,37,1,0,2.99,1
L0046,Website Chat,quote,11,237,1,3,13.92,1
L0047,Phone Inquiry,checking availability,12,207,0,1,33.73,1
L0048,Website Chat,hi thanks thanks,10,84,0,2,67.07,0
L0049,WhatsApp,demo price demo,19,56,1,2,11.9,1
L0050,WhatsApp,interested in pricing,15,22,1,1,360.0,0
L0051,WhatsApp,just checking okay,12,146,0,0,3.51,1
L0052,Website Chat,okay just checking,18,174,0,3,0.97,1
L0053,WhatsApp,price,14,113,1,1,2.44,1
L0054,WhatsApp,demo quote available,20,298,1,0,36.47,1
L0055,WhatsApp,quote quote quote,11,182,1,3,7.05,1
L0056,Email,buy price,18,113,1,5,12.83,1
L0057,Website Chat,just checking,15,119,0,0,9.82,1
L0058,Website Chat,need a quote please,17,72,0,3,1.78,1
L0059,Phone Inquiry,quote price,13,72,1,1,42.79,1
L0060,Website Chat,available,20,220,1,1,1.37,1
L0061,Email,interested how much,13,273,1,3,11.37,1
L0062,Website Chat,interested hello how much how much,20,60,1,1,116.3,0
L0063,WhatsApp,how much just checking buy buy,12,45,1,4,9.02,1
L0064,WhatsApp,available demo,16,211,1,3,2.96,1
L0065,Email,hi quote how much,11,50,1,1,41.15,1
L0066,Phone Inquiry,hello,13,182,0,3,6.91,1
L0067,Website Chat,interested available buy,18,161,1,2,50.2,0
L0068,WhatsApp,buy quote,18,26,1,2,14.69,1
L0069,Website Chat,interested how much,16,224,1,5,35.92,0
L0070,Email,how much available,8,16,1,4,1.71,1
L0071,WhatsApp,demo how much how much,12,13,1,2,9.5,1
L0072,Website Chat,okay thanks just checking,18,254,0,2,140.25,0
L0073,WhatsApp,price,9,82,1,0,61.09,1
L0074,Email,just checking hi hello,14,208,0,2,7.04,1
L0075,WhatsApp,quote quote,17,224,1,3,8.24,1
L0076,WhatsApp,interested price,16,132,1,0,61.71,1
L0077,Email,hi interested quote,18,185,1,1,4.31,1
L0078,Website Chat,just checking,15,298,0,6,3.37,1
L0079,Website Chat,checking availability,10,167,0,1,9.32,1
L0080,WhatsApp,hi thanks just checking,18,172,0,0,44.71,0
L0081,Website Chat,thanks okay,13,201,0,1,16.39,1
L0082,Website Chat,okay demo,20,143,1,2,112.93,0
L0083,Website Chat,thanks okay,14,36,0,2,70.08,1
L0084,Email,interested buy quote hello,18,217,1,1,5.79,1
L0085,Email,checking availability,14,33,0,3,33.37,0
L0086,Email,just checking hello just checking,13,283,0,3,67.02,1
L0087,Website Chat,available available demo,16,211,1,2,30.6,1
L0088,WhatsApp,buy buy,14,115,1,0,313.27,0
L0089,Website Chat,interested demo demo,11,31,1,2,8.35,1
L0090,WhatsApp,demo quote,20,128,1,1,3.89,1
L0091,Email,price available,20,222,1,3,97.97,1
L0092,Email,how much buy,11,252,1,2,8.68,1
L0093,WhatsApp,quote hello,19,120,1,3,3.26,1
L0094,WhatsApp,"interested, tell me more",8,296,0,1,150.34,0
L0095,WhatsApp,thanks thanks,18,130,0,1,3.88,1
L0096,Website Chat,interested in pricing,13,139,1,0,3.45,1
L0097,WhatsApp,checking availability,10,251,1,1,42.56,1
L0098,Email,looking to buy,19,243,0,1,37.83,0
L0099,WhatsApp,hi buy interested buy,13,241,1,1,12.87,1
L0100,WhatsApp,quote,13,86,1,1,41.66,1
